iter	Passed	Remaining
0	9	306
1	17	288
2	26	285
3	35	274
4	43	262
5	52	252
6	60	240
7	68	231
8	77	222
9	85	212
10	93	202
11	101	195
12	110	186
13	118	178
14	127	170
15	137	163
16	146	154
17	155	146
18	164	138
19	173	130
20	182	121
21	190	112
22	199	104
23	208	95
24	217	86
25	226	78
26	235	69
27	244	61
28	255	52
29	265	44
30	275	35
31	285	26
32	296	17
33	305	8
34	315	0
